application_id,occurences
9 37C394037,1
8 30C393978,1
4 56C374318,1
5F22C375782,1
5S34C385585,1
8 36C394531,1
8 36C394532,1
5S34C383865,1
8 33C376681,1
2 43C370287,1
1 23W003806,1
3 44C372154,1
2 28C370919,1
7 36W004712,1
8 33C376684,1
6B19C374820,1
5S09C384580,1
2 41C376549,1
5F54W004578,1
4 56C371496,1
4 56C371490,1
9 37C376334,1
5F15C385039,1
5F16W005049,1
5S39C366032,1
5S34C391350,1
4 19C375123,1
5S34C391359,1
4 19C375127,1
5F20C368113,1
4 19C386399,1
5S34C393268,1
4 19C386397,1
8 30W003688,1
3 40W003366,1
5S31C367862,1
4 19C389715,1
9 33C384597,1
5F20C392045,1
4 19C385843,1
2 01C374512,1
5R04C370218,1
9 37C377803,1
5S34C377826,1
5F10C376404,1
7 33C389843,1
9 37W005169,1
8 30C392622,1
8 30C393365,1
3 40C384789,1
7 33C384380,1
1 49C390026,1
2 43C373734,1
5F24W003031,1
8 33C377456,1
8 30C374519,1
8 30C374517,1
2 07C387023,1
4 19C390221,1
4 19C390225,1
9 37C391607,1
2 43C386242,1
2 43C386240,1
9 37C376820,1
5S09C379363,3
4 19C380364,1
4 19C388443,1
5F22W004550,1
9 37C369642,1
8 30C371042,1
5S07C373385,1
7 33C380239,1
5S51C385601,1
5F20C385321,1
2 41C379668,1
4 19C369586,1
3 40C394554,1
9 37C377118,1
3 40C388031,1
6B15C377854,1
4 19C388196,1
6B15C377852,1
6B15C377853,1
6B15C377850,1
6B15C377851,1
4 19C384820,1
5R04W002506,1
5F10W002797,1
3 40W004994,1
8 33C388148,1
4 19C386676,1
8 33C388140,1
2 41C372675,1
8 33C388144,1
5S57C372908,1
4 19C369059,1
4 19C369058,1
2 43C364437,1
5S50C370974,1
4 19C369055,1
5F10C369112,1
5F10C369113,1
2 01C367580,1
9 30C377746,1
5F10C369119,1
4 56C367474,1
5S57C380975,1
2 43C370902,1
2 48C394109,1
5S05W005054,1
5S39C383484,1
5S31C393374,1
2 01C394153,1
2 01C394154,1
4 19C374020,1
3 40C385491,1
8 36C369694,1
5F15W005167,1
6B19W002461,1
5S34C376223,1
2 41C373786,1
5F24C392933,1
5F24C392932,1
5F10W004862,2
5S34C376224,1
8 36C383306,1
3 40C376205,1
9 37C376274,1
9 37W003716,1
9 37W003714,1
8 36C388462,1
8 36C380659,1
2 21C384300,1
2 01C391655,1
3 42C378774,1
2 43C365748,1
4 19C364264,1
8 36C386489,1
5S57C391033,1
5S39C382289,1
8 36C386487,1
9 37C373910,1
6B36C384534,1
6B36C384535,1
2 01W002738,1
6B19C388828,2
4 19C368720,1
5F10C375247,1
6B36C383079,1
4 56C387431,1
4 19C367519,1
7 33C370807,1
2 43C378828,1
1 49C354401,1
5S39C388871,1
1 49C390875,1
5S39C385886,1
5S07C371127,1
2 48C390488,1
8 33W004715,1
9 33C394463,1
9 33C394462,1
5S39W003174,1
8 30C373977,1
5S39C389477,1
9 37W002041,1
9 37C387500,1
5F24W004581,1
8 30C372001,1
8 30C372000,1
7 33C375358,1
1 49C371186,1
5F15W004344,1
5F15W004340,1
5F54W003361,1
5F24C394423,1
5F24C378531,5
5F24C377884,1
